Card,Store,Date,Amount,Category,Notes,Recurring,Who,Cycle
BofA Debit,Costco,"Apr 12, 2026",7.00,Food & Living,,,Us,2026-04
Discover,Foodistan,"Apr 12, 2026",37.68,Food & Living,,,Us,2026-04
Discover,Braums,"Apr 13, 2026",11.76,Food & Living,,,Us,2026-04
Discover,Monks,"Apr 14, 2026",23.27,Eat Out,Uber Eats,,Us,2026-04
Discover,Foodistaan,"Apr 15, 2026",9.56,Eat Out,,,Us,2026-04
Discover,India bazaar,"Apr 15, 2026",32.13,Food & Living,,,Us,2026-04
Bilt,Mustang water,"Apr 15, 2026",134.18,Utilities,,,Us,2026-04
Discover,Hashtag,"Apr 16, 2026",2.15,Eat Out,,,Us,2026-04
BofA Subha,Foodistan,"Apr 16, 2026",12.50,Eat Out,,,Us,2026-04
Chase Prime,Costco,"Apr 17, 2026",78.43,Food & Living,,,Us,2026-04
Bilt,H-E-B,"Apr 17, 2026",23.14,Food & Living,,,Us,2026-04
Bilt,Costco,"Apr 17, 2026",100.00,Food & Living,,,Us,2026-04
Bilt,Burlington,"Apr 18, 2026",95.20,Luxury (Personal),,,Us,2026-04
Bilt,India 101,"Apr 18, 2026",83.61,Eat Out,,,Us,2026-04
Bilt,Costco,"Apr 20, 2026",100.00,Food & Living,Gift card used on 4/20,,Us,2026-04
Chase Prime,Costco,"Apr 20, 2026",66.57,Food & Living,India shopping,,Us,2026-04
Bilt,Mc Donald’s,"Apr 20, 2026",5.40,Eat Out,,,Us,2026-04
Bilt,Mc D,"Apr 20, 2026",6.37,Eat Out,,,Us,2026-04
Bilt,Chowrastha,"Apr 20, 2026",33.52,Eat Out,,,Us,2026-04
Bilt,Paris baguette,"Apr 21, 2026",47.95,Gifts,Athayagaru bday,,Us,2026-04
Bilt,Foodistan,"Apr 21, 2026",12.96,Food & Living,,,Us,2026-04
Bilt,Mexican sugar,"Apr 21, 2026",213.82,Eat Out,Athayagaru bday,,Us,2026-04
Bilt,Maya creamery,"Apr 22, 2026",19.45,Eat Out,,,Us,2026-04
Bilt,Goli soda,"Apr 22, 2026",113.42,Eat Out,,,Us,2026-04
Chase Prime,American,"Apr 23, 2026",200.00,Others,,,Us,2026-04
Bilt,Buffalo Wild Wings,"Apr 23, 2026",52.00,Eat Out,,,Us,2026-04
Bilt,Chowrastha,"Apr 24, 2026",5.99,Food & Living,,,Us,2026-04
Bilt,Walmart,"Apr 25, 2026",35.67,Food & Living,,,Us,2026-04
Bilt,World of smoke,"Apr 25, 2026",16.57,Drinks or Smokes,,,Us,2026-04
Bilt,Home Depot,"Apr 25, 2026",0.54,Food & Living,,,Us,2026-04
Bilt,Survivors Course,"Apr 27, 2026",78.00,Others,,,Us,2026-04
Wells Fargo,Airbnb,"Apr 28, 2026",975.29,Others,Stay in nymc,,Us,2026-04
Bilt,Bilt south west,"Apr 28, 2026",783.40,Others,Fly DFW to LGA,,Us,2026-04
BofA Subha,Costco,"Apr 28, 2026",3.24,Eat Out,,,Us,2026-04
Chase Prime,Old navy,"Apr 28, 2026",17.82,Luxury (Personal),Nite pants + shoes,,Us,2026-04
Bilt,Ross,"Apr 28, 2026",96.26,Luxury (Personal),Dresses for Subha ❤ for rotation,,Us,2026-04
Bilt,Sephora,"Apr 29, 2026",45.47,Luxury (Personal),Tarte,,Us,2026-04
Bilt,Walmart,"Apr 30, 2026",19.85,Food & Living,,,Us,2026-04
Bilt,Starbucks,"Apr 30, 2026",27.01,Gifts,Vinod,,Us,2026-04
Wells Fargo,Starbucks,"May 1, 2026",6.34,Food & Living,,,Us,2026-04
Wells Fargo,Walmart,"May 1, 2026",22.33,Luxury (Home),USB c cable,,Us,2026-04
Cash,Budget shuttle,"May 1, 2026",5.00,Others,,,Us,2026-04
Chase Prime,Costco,"May 3, 2026",70.82,Car,,,Us,2026-04
Apple Card,Fsmb,"Jun 1, 2026",70.00,Food & Living,Step 2 extension,,Us,2026-05
Discover,Home Depot,"Jun 1, 2026",14.50,Food & Living,H2O two and caulk removal tool,,Us,2026-05
Discover,Namaste Denton,"Jun 1, 2026",28.09,Eat Out,,,Us,2026-05
Discover,Velocity,"Jun 1, 2026",85.52,Luxury (Personal),Badminton membership - panm group llc,,Us,2026-05
Bilt,Home Depot,"Jun 2, 2026",7.53,Food & Living,Rustoleum spray paint,,Us,2026-05
Chase Prime,Amazon,"Jun 2, 2026",27.05,Luxury (Personal),Watch strap,,Us,2026-05
Bilt,Nellis,"Jun 2, 2026",98.33,Luxury (Home),,,Us,2026-05
Bilt,Nellis,"Jun 2, 2026",53.53,Luxury (Home),,,Us,2026-05
Chase Prime,Costco,"Jun 3, 2026",71.08,Food & Living,Us Cinemark,,Us,2026-05
,Cinemark,"Jun 3, 2026",11.90,Movies,,,Us,2026-05
Discover,World of smoke and vape,"Jun 3, 2026",16.57,Drinks or Smokes,,,Us,2026-05
Discover,Golden chick,"Jun 4, 2026",10.81,Eat Out,,,Us,2026-05
Discover,Monks,"Jun 4, 2026",15.14,Eat Out,,,Us,2026-05
Bilt,Monks,"Jun 4, 2026",16.24,Eat Out,,,Us,2026-05
Discover,Drizzles,"Jun 5, 2026",14.06,Food & Living,,,Us,2026-05
Discover,Hareli,"Jun 5, 2026",2.15,Drinks or Smokes,Tea,,Us,2026-05
Discover,Devibe,"Jun 5, 2026",75.80,Drinks or Smokes,,,Us,2026-05
Discover,Velocity badminton,"Jun 6, 2026",30.00,Food & Living,Training 5 & 6,,Us,2026-05
Discover,Liquor King,"Jun 6, 2026",45.32,Drinks or Smokes,,,Us,2026-05
Bilt,Heb,"Jun 6, 2026",21.09,Food & Living,,,Us,2026-05
Discover,Foodistan,"Jun 6, 2026",28.66,Food & Living,,,Us,2026-05
Chase Prime,Amazon,"Jun 7, 2026",37.90,Luxury (Personal),Face and eye cream,,Us,2026-05
Discover,Target,"Jun 7, 2026",44.91,Gifts,"Big shit, Vadina, Bindu’s daughter birthday",,Us,2026-05
Bilt,Nellis,"Jun 9, 2026",64.73,Luxury (Home),"Phone case and toy for Gokul, daughter and fridge organizers",,Us,2026-05
Bilt,Nellis,"Jun 9, 2026",68.46,Luxury (Home),Watch strap and car organization and grill and face wash and towels,,Us,2026-05
Chase Prime,Costco,"Jun 9, 2026",16.97,Food & Living,,,Us,2026-05
Discover,Foodistan,"May 12, 2026",15.58,Food & Living,,,Us,2026-05
Discover,Huq up,"May 19, 2026",37.02,Drinks or Smokes,,,Us,2026-05
Chase Prime,Costco,"May 20, 2026",85.11,Food & Living,,,Us,2026-05
Bilt,Hareli,"May 20, 2026",35.95,Food & Living,,,Us,2026-05
Discover,Nh7 dhaba,"May 20, 2026",33.00,Eat Out,Nh7 dhaba,,Us,2026-05
Discover,Namaste Denton,"May 21, 2026",95.69,Drinks or Smokes,Mainers,,Us,2026-05
Discover,Nellis,"May 22, 2026",29.87,Food & Living,,,Us,2026-05
Discover,Cinemark,"May 23, 2026",6.24,Movies,Drishyam 3,,Us,2026-05
Discover,Chowrastha,"May 23, 2026",10.98,Food & Living,,,Us,2026-05
Discover,Velocity badminton,"May 23, 2026",24.00,Luxury (Personal),Badminton training - 1,,Us,2026-05
Discover,Hareli,"May 24, 2026",25.34,Food & Living,,,Us,2026-05
Discover,H-E-B,"May 24, 2026",7.32,Food & Living,,,Us,2026-05
Discover,Hareli,"May 24, 2026",43.98,Food & Living,,,Us,2026-05
Discover,Hash tag,"May 24, 2026",64.95,Food & Living,,,Us,2026-05
Discover,Circle k,"May 24, 2026",21.54,Drinks or Smokes,,,Us,2026-05
Discover,Velocity,"May 24, 2026",24.00,Luxury (Personal),Badminton training 2,,Us,2026-05
Discover,Velocity,"May 24, 2026",24.00,Luxury (Home),Badminton training three,,Us,2026-05
Discover,Velocity,"May 24, 2026",22.50,Luxury (Personal),Badminton membership for me,,Us,2026-05
Discover,Velocity,"May 24, 2026",15.00,Luxury (Personal),Badminton training 4,,Us,2026-05
Discover,Home Depot,"May 25, 2026",14.59,Food & Living,,,Us,2026-05
Discover,Nellis,"May 25, 2026",117.01,Luxury (Personal),Piano water bottle,,Us,2026-05
Chase Prime,Amazon,"May 25, 2026",21.84,Food & Living,,,Us,2026-05
Chase Prime,Amazon,"May 25, 2026",8.57,Food & Living,,,Us,2026-05
Discover,Hashtag,"May 26, 2026",2.15,Food & Living,,,Us,2026-05
Discover,Hashtag,"May 26, 2026",2.15,Drinks or Smokes,Tea,,Us,2026-05
Chase Prime,Amazon,"May 27, 2026",8.16,Food & Living,Head band,,Us,2026-05
Wells Fargo,FedEx,"May 28, 2026",19.51,Food & Living,Shipment from India remittance,,Us,2026-05
Discover,Home Depot,"May 29, 2026",57.86,Food & Living,"Trellis , fence post",,Us,2026-05
Chase Prime,Costco,"May 29, 2026",58.52,Food & Living,,,Us,2026-05
Discover,Hareli,"May 29, 2026",3.99,Food & Living,,,Us,2026-05
Discover,Braums,"May 30, 2026",4.79,Food & Living,,,Us,2026-05
Discover,World of smoke and vape,"May 30, 2026",16.57,Drinks or Smokes,,,Us,2026-05
Discover,Trader Joe’s,"May 31, 2026",76.87,Food & Living,"Protein bars, chocolate rolls, sunscreen",,Us,2026-05
Discover,World of smoke and vape,"May 31, 2026",16.57,Drinks or Smokes,,,Us,2026-05
Discover,7 eleven,"May 31, 2026",10.97,Drinks or Smokes,,,Us,2026-05
Bilt,Badminton,"Jul 1, 2026",15.00,Luxury (Home),,,Deepu,2026-06
Bilt,Nellis,"Jul 2, 2026",13.69,Luxury (Personal),,,Deepu,2026-06
Bilt,H-E-B,"Jul 3, 2026",8.15,Food & Living,,,Us,2026-06
Bilt,India Metro,"Jul 3, 2026",4.79,Food & Living,,,Us,2026-06
Chase Prime,Costco Buy,"Jul 3, 2026",69.85,Food & Living,,,Us,2026-06
Bilt,H-E-B,"Jul 3, 2026",17.98,Others,Madhu birthday,,Friends,2026-06
Bilt,SHEIN,"Jul 4, 2026",71.39,Luxury (Personal),,,Deepu,2026-06
Bilt,7-11,"Jul 4, 2026",11.14,Drinks or Smokes,,,Us,2026-06
Discover,7-11,"Jul 4, 2026",2.81,Drinks or Smokes,,,Us,2026-06
Discover,Chowrastha,"Jul 5, 2026",3.99,Food & Living,,,Us,2026-06
Bilt,Liquor store,"Jul 7, 2026",16.55,Drinks or Smokes,,,Us,2026-06
Bilt,Pizza o pizza,"Jul 7, 2026",18.27,Eat Out,,,Us,2026-06
Bilt,Mc d,"Jul 7, 2026",8.11,Eat Out,,,Us,2026-06
Bilt,Feng cha,"Jul 7, 2026",7.00,Eat Out,7.9,,Subha,2026-06
Bilt,Badminton,"Jul 7, 2026",15.00,Luxury (Personal),,,Deepu,2026-06
Bilt,Foodistan,"Jul 8, 2026",20.56,Eat Out,,,Us,2026-06
Bilt,Punjabi family salon,"Jul 8, 2026",24.00,Luxury (Personal),,,Deepu,2026-06
Discover,Monks,"Jun 11, 2026",28.13,Eat Out,,,Us,2026-06
Discover,Cinema Bandi,"Jun 12, 2026",28.12,Eat Out,,,Us,2026-06
Bilt,Sprouts,"Jun 13, 2026",42.16,Food & Living,Creatine and Celtic salt,,Us,2026-06
Bilt,Trader Joe’s,"Jun 13, 2026",14.25,Food & Living,,,Us,2026-06
Chase Prime,Costco,"Jun 13, 2026",52.45,Food & Living,,,Us,2026-06
Chase Prime,Oak tree garden,"Jun 14, 2026",12.98,Eat Out,,,Us,2026-06
Discover,Oak tree garden,"Jun 14, 2026",39.63,Eat Out,,,Us,2026-06
Bilt,Hashtag,"Jun 15, 2026",2.15,Drinks or Smokes,,,Us,2026-06
Chase Prime,World of smoke,"Jun 15, 2026",33.12,Eat Out,,,Us,2026-06
Bilt,7 eleven,"Jun 16, 2026",13.98,Drinks or Smokes,,,Us,2026-06
Chase Prime,Nellis,"Jun 16, 2026",105.81,Luxury (Home),,,Us,2026-06
Discover,Target,"Jun 16, 2026",25.98,Gifts,Gokul daughter bday,,Us,2026-06
Chase Prime,Mustang water,"Jun 16, 2026",139.27,Utilities,,,Us,2026-06
Chase Prime,Costco,"Jun 17, 2026",166.47,Food & Living,,,Us,2026-06
Chase Prime,Costco,"Jun 17, 2026",2.15,Eat Out,Pizza,,Us,2026-06
Chase Prime,Braums,"Jun 20, 2026",10.78,Food & Living,,,Us,2026-06
Chase Prime,H-E-B,"Jun 20, 2026",17.76,Food & Living,,,Us,2026-06
Discover,Foodistan,"Jun 20, 2026",23.99,Food & Living,,,Us,2026-06
Discover,Foodistan,"Jun 20, 2026",2.15,Food & Living,,,Us,2026-06
Chase Prime,Costco,"Jun 20, 2026",4.99,Food & Living,,,Us,2026-06
Discover,Badminotn,"Jun 20, 2026",15.00,Luxury (Personal),PANM LLC,,Us,2026-06
Bilt,Foodistan,"Jun 21, 2026",3.99,Food & Living,,,Us,2026-06
Chase Prime,CVS,"Jun 21, 2026",28.13,Food & Living,,,Us,2026-06
Chase Prime,Costco,"Jun 22, 2026",55.15,Food & Living,,,Us,2026-06
Chase Prime,Two Gentleman of Verona,"Jun 23, 2026",22.08,Eat Out,Tiramisu,,Us,2026-06
Bilt,Fedex,"Jun 23, 2026",16.30,Food & Living,,,Us,2026-06
Bilt,Nellis,"Jun 23, 2026",9.96,Luxury (Home),,,Us,2026-06
Discover,Cobrand LLC,"Jun 23, 2026",25.00,?,,,Us,2026-06
Bilt,Jordan Tax,"Jun 24, 2026",951.26,Audit,924 + 27.26,,Us,2026-06
Discover,Foodistan,"Jun 26, 2026",10.28,Food & Living,,,Us,2026-06
Discover,Devibe,"Jun 26, 2026",105.74,Drinks or Smokes,,,Us,2026-06
Chase Prime,Liquor king,"Jun 26, 2026",33.10,Drinks or Smokes,,,Us,2026-06
Bilt,Rise Guide,"Jun 27, 2026",41.99,Food & Living,Cancelled,,Us,2026-06
Bilt,Hanuman Temple Food,"Jun 27, 2026",18.25,Food & Living,,,Us,2026-06
Chase Prime,Hindu Temple,"Jun 27, 2026",31.00,Food & Living,Sani Trayodasi,,Us,2026-06
Chase Prime,MTK,"Jun 27, 2026",29.20,Eat Out,,,Us,2026-06
Chase Prime,Mythris,"Jun 28, 2026",43.28,Eat Out,Us Us Us Us Us Us Us Us Us Us Us,,Us,2026-06
Chase Prime,Desi district,"Jun 29, 2026",34.24,Food & Living,Verify amount once,,Us,2026-06
Discover,Desi district,"Jun 29, 2026",5.25,Eat Out,,,Us,2026-06
Bilt,Madison reed,"Jun 30, 2026",53.04,Luxury (Personal),Hair color,,Deepu,2026-06
Best Buy,Best Buy,"Jun 30, 2026",201.92,Food & Living,Used office gift cards,,Us,2026-06
Chase Sapphire,Chase,"Aug 1, 2026",95.00,Interest or Fees,"Annual Membership fee - if spending 5k in 3 months, I’ll get 100k pts worth",,Us,2026-07
Chase Prime,Amazon,"Aug 1, 2026",25.58,Food & Living,Urea + usb c for recordings in car,,Us,2026-07
Chase Sapphire,Starbucks,"Aug 1, 2026",8.77,Food & Living,,,Us,2026-07
Bilt,Nellis,"Aug 1, 2026",2.48,Luxury (Home),Sofa covers + glass containers,,Us,2026-07
Chase Sapphire,CVS,"Aug 1, 2026",13.99,Food & Living,,,Deepu,2026-07
Discover,Badminton,"Aug 1, 2026",85.52,Luxury (Personal),,,Us,2026-07
Chase Sapphire,Target,"Aug 1, 2026",43.29,Gifts,Diya birthday,,Us,2026-07
BofA Debit,Cadillac Financial,"Aug 1, 2026",740.00,Car,Speedpay conf 299314586 - ACH from BofA acct *6932,Yes,Us,2026-07
Chase Sapphire,Braums,"Aug 2, 2026",4.10,Eat Out,,,Us,2026-07
Chase Sapphire,Hareli,"Aug 2, 2026",23.84,Food & Living,,,Us,2026-07
Chase Sapphire,7/11,"Aug 2, 2026",14.22,Drinks or Smokes,,,Us,2026-07
Chase Sapphire,World of smoke,"Aug 4, 2026",33.13,Drinks or Smokes,,,Us,2026-07
Bilt,Apple Imprint Subscription,"Aug 4, 2026",37.88,Luxury (Personal),,,Deepu,2026-07
BofA Debit,Memo lawn mower,"Aug 5, 2026",20.00,Utilities,,,Us,2026-07
Bilt,Stove repair Task Rabbit,"Aug 5, 2026",59.32,Food & Living,,,Us,2026-07
Chase Sapphire,Oet English,"Aug 6, 2026",95.00,Others,,,Subha,2026-07
Chase Sapphire,Paris baguette,"Aug 6, 2026",85.57,Food & Living,Anniversary cake,,Us,2026-07
Chase Prime,Monks,"Aug 6, 2026",23.27,Eat Out,,,Us,2026-07
Chase Sapphire,Heb,"Aug 6, 2026",40.38,Food & Living,,,Us,2026-07
Chase Sapphire,Heb,"Aug 6, 2026",2.68,Food & Living,,,Us,2026-07
Bilt,CoServ,"Aug 6, 2026",180.29,Utilities,Posted to acct 9001776744,Yes,Us,2026-07
Bilt,CoServ,"Aug 6, 2026",20.71,Utilities,Second posting same day,Yes,Us,2026-07
Chase Sapphire,Temple,"Aug 7, 2026",21.00,Food & Living,Allen temple archana,,Us,2026-07
Chase Sapphire,Temple,"Aug 7, 2026",21.00,Food & Living,Donation,,Us,2026-07
Chase Sapphire,Temple,"Aug 7, 2026",5.12,Food & Living,Prasad,,Us,2026-07
Bilt,Chowrastha,"Jul 10, 2026",5.80,Food & Living,,,Us,2026-07
Bilt,Costco,"Jul 10, 2026",250.00,Food & Living,Gift card,,Us,2026-07
BofA Cash,Foodistaan,"Jul 10, 2026",20.56,Eat Out,,,Us,2026-07
Chase Sapphire,Costco,"Jul 11, 2026",3.39,Food & Living,,,Us,2026-07
Bilt,Usps,"Jul 11, 2026",25.67,Food & Living,Vyshu shipping,,Us,2026-07
Bilt,Harreli,"Jul 11, 2026",2.68,Food & Living,,,Us,2026-07
Bilt,7-11,"Jul 11, 2026",13.95,Drinks or Smokes,,,Us,2026-07
BofA Debit,Att WiFi,"Jul 12, 2026",65.61,Utilities,,,Us,2026-07
Discover,Prometric,"Jul 13, 2026",100.00,Others,Exam extension,,Subha,2026-07
Discover,7/11,"Jul 14, 2026",12.74,Drinks or Smokes,,,Us,2026-07
Bilt,Mustang water,"Jul 15, 2026",141.21,Utilities,Water,,Us,2026-07
Costco Citi,Costco,"Jul 15, 2026",66.34,Food & Living,,,Us,2026-07
Bilt,Foodistan,"Jul 15, 2026",20.56,Eat Out,,,Us,2026-07
Bilt,SHEIN,"Jul 16, 2026",130.00,Luxury (Personal),Part of 168.36 for Rockies,,Us,2026-07
Bilt,SHEIN,"Jul 16, 2026",38.36,Luxury (Home),Part of 168.36 for Rockies,,Deepu,2026-07
Bilt,Target,"Jul 16, 2026",26.87,Food & Living,,,Us,2026-07
Chase Prime,Amazon,"Jul 16, 2026",25.00,Luxury (Personal),Boxers and hair color,,Deepu,2026-07
Chase Prime,Amazon,"Jul 16, 2026",10.03,Luxury (Home),Stove mat,,Us,2026-07
PayPal,HP Insta Ink,"Jul 16, 2026",24.67,Food & Living,,,Us,2026-07
Bilt,SHEIN,"Jul 16, 2026",6.18,Luxury (Personal),,,Deepu,2026-07
Bilt,SHEIN,"Jul 16, 2026",23.05,Luxury (Personal),,,Subha,2026-07
Bilt,7-11,"Jul 17, 2026",13.95,Drinks or Smokes,,,Subha,2026-07
Apple Card,Apple Family Plan,"Jul 17, 2026",40.65,Luxury (Personal),Family Plan for photo storage,,Us,2026-07
Bilt,Walmart,"Jul 18, 2026",2.13,Food & Living,,,Us,2026-07
Apple Card,Gemini subscription,"Jul 18, 2026",5.40,Luxury (Personal),,,Deepu,2026-07
Bilt,Seven eleven,"Jul 21, 2026",14.19,Drinks or Smokes,,,Subha,2026-07
Bilt,Trader Joe’s,"Jul 21, 2026",31.42,Food & Living,,,Us,2026-07
Costco Citi,Costco,"Jul 21, 2026",41.94,Food & Living,,,Us,2026-07
Bilt,7/11,"Jul 22, 2026",4.79,Food & Living,,,Us,2026-07
Bilt,CoServ,"Jul 22, 2026",201.00,Utilities,,,Us,2026-07
Bilt,SHEIN,"Jul 25, 2026",18.59,Luxury (Personal),Part of 84.25,,Subha,2026-07
Bilt,SHEIN,"Jul 25, 2026",65.66,Luxury (Personal),Part of 84.25,,Deepu,2026-07
Bilt,Walmart,"Jul 25, 2026",13.98,Food & Living,,,Deepu,2026-07
Bilt,Chowrastha,"Jul 25, 2026",12.96,Food & Living,,,Us,2026-07
Bilt,Club Car Wash,"Jul 25, 2026",5.00,Luxury (Home),,,Us,2026-07
Bilt,Braums,"Jul 25, 2026",9.50,Eat Out,,,Us,2026-07
Bilt,Hashtag Aubrey,"Jul 25, 2026",16.23,Eat Out,,,Us,2026-07
Bilt,Nellis,"Jul 25, 2026",31.12,Luxury (Home),,,Us,2026-07
Bilt,Monks,"Jul 27, 2026",16.24,Eat Out,,,Us,2026-07
Bilt,Hashtag,"Jul 27, 2026",2.15,Food & Living,,,Us,2026-07
Bilt,7/11,"Jul 27, 2026",10.92,Drinks or Smokes,,,Subha,2026-07
Bilt,Turo,"Jul 28, 2026",12.36,Travel,From May 10 NJ trip,,Us,2026-07
Bilt,Mc d,"Jul 28, 2026",3.45,Eat Out,,,Us,2026-07
Bilt,NBME,"Jul 28, 2026",62.00,Food & Living,,,Deepu,2026-07
BofA Debit,Hoa,"Jul 28, 2026",710.00,Utilities,First residential - used BofA as using credit card adds $20 fee,,Us,2026-07
Citi Double,Turo,"Jul 28, 2026",12.39,Travel,For trip in May,,Us,2026-07
Amex Blue,Amex,"Jul 29, 2026",0.10,Interest or Fees,,,Us,2026-07
Discover,Prometric,"Jul 29, 2026",100.00,Others,,,Subha,2026-07
Chase Sapphire,Walgreens,"Jul 29, 2026",36.98,Food & Living,,,Us,2026-07
Bilt,Foodistan,"Jul 29, 2026",20.56,Eat Out,,,Us,2026-07
Bilt,Walgreens,"Jul 29, 2026",0.87,Food & Living,,,Us,2026-07
Apple Card,Apple,"Jul 29, 2026",65.92,Luxury (Personal),Mac mini + 12 installments,,Deepu,2026-07
PayPal,Walmart,"Jul 30, 2026",82.28,Food & Living,"Protein bars, energy drinks, gas stove cover",,Us,2026-07
Bilt,Cinemark,"Jul 30, 2026",54.12,Movies,Odyssey will cancel one - after deciding on which ever show is better,,Us,2026-07
Bilt,Cinemark,"Jul 30, 2026",42.23,Movies,Odyssey will cancel one - after deciding on which ever show is better,,Us,2026-07
Apple Card,Apple,"Jul 31, 2026",66.58,Luxury (Personal),Mac mini 1st installment of 12,,Deepu,2026-07
